	15681
James Freeman	2
John P. Mello Jr.	2
Liz Raftery, TV GUIDE	2
Kane Fulton	2
David Porter, Associated Press	2
Sonali Joshi Pitale	2
JANIS CARR	2
Friedrich Geiger	2
J.P. PELZMAN	2
Helen Thomas	2
Emma Munbodh	2
Universal Music Enterprises	2
Jacob Bryant	2
Mark Nensel	2
Jonathan Marino	2
Maane Khatchatourian	2
Christopher Lawrence	2
More Content Now	2
Elizabeth Dexheimer	2
Sam Thielman	2
Ashley Armstrong	2
Lindsey Compton	2
Troy L. Smith, Northeast Ohio Media Group	2
Brandon Watson	2
Bree Fowler, AP Technology Writer	2
HFF	2
Andrea Waguespack, Houston Chronicle	2
Katrina Tulloch | ktulloch@syracuse.com	2
Drew Cratchley	2
New York Post	2
Jessica Sier	2
Steve Lee, Editor	2
TERESA M. WALKER	2
Gregor Stuart Hunter	2
University of Phoenix	2
Dave Ferrera, The Las Vegas Review-Journal	2
Norm Wood	2
Duncan Hughes	2
Controversy surrounds new Jesse James photo discovery	2
Sidin Vadukut	2
Alan Baldwin	2
Tara Cunningham	2
Adam Carrington acarrington@mdjonline.com (noreply@mdjonline.com)	2
Phil Kadner	2
JOHN CARUCCI	2
David A. Graham	2
MDJ staff reports (noreply@mdjonline.com)	2
Richard Eisenberg	2
Marc Weiszer	2
Kwanwoo Jun	2
Trefor Moss	2
Jen Kirby	2
Source: SiliconValley.com	2
Dow Jones Newswires with a staff reporter	2
thestreet.com/	2
Rob Hughes	2
Kristin M. Hall, The Associated Press	2
Emily E. Smith | The Oregonian/OregonLive	2
DEVIN GOLDEN 315-4476 | @DGoldnwfdn dgolden@nwfdailynews.com	2
Melinda Beck	2
Ron Legarski	2
Robert Hurwitt	2
Weber Shandwick	2
Sarah Bargiela	2
Madhu Krishnamurthy	2
Dear Abby	2
Darren Behuniak	2
STEVE ZIPAY	2
Zach Taylor	2
jsmith3@herald-leader.com (Jennifer Smith)	2
Cricket Correspondent and Agencies	2
Douglas A. McIntyre	2
Joseph Karbousky	2
Dirk Facer	2
Fluor Corporation	2
Ralph D. Russo  AP College Football Writer	2
Rick Kogan	2
Sheppard Mullin Richter &amp; Hampton LLP	2
NATHAN DEEN • 912-652-0353	2
Roxana Zega	2
Brian Shaw	2
Marina Koren	2
Tom Murphy, AP Business Writer	2
TOMMY FLEMING	2
Cameron Huddleston	2
Jim Memmott	2
AARON CLAVERIE	2
Matt Tait	2
Gregory Karp	2
Amanda Schupak CBS News	2
Writer	2
Evelyn Cheng	2
Chris Hook	2
Stephen Cauchi	2
VOA News	2
Brodsky & Smith, LLC	2
JOSEPH PISANI	2
Chris Hine	2
Scott Samuelson	2
Danny Yadron	2
Ellen Killoran	2
Jonathan Shapiro, James Eyers and James Thomson	2
George Will	2
Paul Kilby	2
Jonathon Moran	2
Doug Cameron	2
BEN GOGGINS	2
Bob Zeni	2
Gaurav Raghuvanshi	2
Contributed to The Globe and Mail	2
Peter Cohan	2
Anthony Domanico	2
Rory Carroll	2
Hilary Osborne	2
Craig Gilvarg/Daily News Staff	2
Doug Smith	2
NewsUSA@NewsUSA.com (NewsUSA)	2
Joe Flint	2
Cape Cod Times sports@capecodonline.com	2
Atsuko Fukase	2
Deepa Seetharaman	2
Jenny Wiggins	2
John Davidson	2
Eyk Henning	2
HILLEL ITALIE	2
Richard Dyson	2
Krishnadev Calamur	2
Larry Schlesinger	2
noreply@blogger.com (Mark Milan Macanas)	2
BETH HARRIS	2
The Huffington Post News Team	2
From staff reports	2
Shane Dingman	2
Peg Brickley	2
Jill Lawless	2
Rod Easdown	2
marcel@gamestrust.de (Fenix Caine)	2
Rebecca Thurlow	2
Paul Sisolak	2
YuMe, Inc.	2
News Tribune	2
LYNN GENSAMER	2
Sam Schechner	2
Nick Swedberg	2
VICKY ROACH	2
Kylie Northover	2
Michelle Jamrisko	2
ASSOCIATED PRESS	2
greg.mengelt@newsandtribune.com(Greg Mengelt)	2
Agilent Technologies Inc.	2
Jason Monteiro	2
Bill Pennington	2
Derek Bayne	2
Brian Lewis	2
Jim Gorzelany	2
Priya Gupta	2
Eric Branch	2
Source: KMIR 6	2
Erich Schwartzel	2
Tony Walker	2
Contact	2
Joaquin Palomino	2
Amy Davidson	2
"Larry Magid

For the Mercury News"	2
CHERYL O'HERN	2
Allaam Ousman	2
Freelancer	2
Anne Bretts	2
Lindsay Gellman	2
Lianna Brinded	2
James Thomson	2
George Stahl	2
Nicole Lindsay	2
jdell@wsjournal.com(jdell)	2
James Verniere	2
sports.yahoo.com	2
Media Relations	2
"Matt Barrows 
mbarrows@sacbee.com"	2
Heather Haddon	2
Ayliffe Brown	2
Erik Sherman	2
Megan Mitchell	2
Source: San Gabriel Valley Tribune	2
Madalyn Mendoza	2
Will Shanklin	2
NEIL BEST	2
Colin White	2
Justin Baer	2
Heidi Stevens	2
Harry Gross,	2
Technews Staff	2
Brian Lowry	2
STEPHEN HAWKINS	2
JOE MANDAK	2
(Staff)	2
Jeff Howe	2
Jennifer Foreshew	2
JONATHAN J. COOPER and BOB SEAVEY | Associated Press	2
dweaver@thehill.com (Kevin Cirilli)	2
dailystar	2
BREE FOWLER	2
"Chuck Barney

cbarney@bayareanewsgroup.com"	2
ROB HARRIS	2
lwheeler@thehill.com (Lydia Wheeler)	2
TIM REYNOLDS	2
Szu Ping Chan	2
Barry Horn	2
Coldwell Banker Residential Brokerage	2
Albert R. Hunt	2
Carlton D. White cwhite@mdjonline.com (noreply@mdjonline.com)	1
VTT Technical Research Centre of Finland	1
Kristin M. Hall,	1
Ott Ummelas	1
Tim Brown | The Oregonian/OregonLive	1
Scott Spann	1
Carla Jean Whitley | cwhitley@al.com	1
Priscilla Alvarez	1
STEPHEN WILSON, AP Sports Writer	1
Pete Sweeney	1
Lewisboro Ledger	1
Ben Pearson	1
KIRSTEN O'BRIEN, SEATTLEPI.COM STAFF	1
Richard Walker	1
Nicki Jhabvala	1
Mike Isaac	1
Scott Collie	1
JIM WILLIAMSON Texarkana Gazette	1
Cecile Locurto	1
gchan	1
Patricia McLoughlin	1
Gabrielle Coppola Bloomberg News	1
Lindsey Bahr,  The Associated Press	1
Argan, Inc.	1
Molly Young | The Oregonian/OregonLive	1
Ben Klayman	1
Canadian Press	1
Kjetil Malkenes Hovland	1
Steve Larrivee	1
RALPH D. RUSSO	1
Lisa Murray	1
Telegraph Video	1
Christopher Weber	1
Ransdell Pierson	1
Brooke Crothers	1
Source: The Lebanon Daily News	1
Mark Hughes	1
Eric Levitz	1
Jason Blevins	1
Charlotte Mathews	1
Alexis Stevens	1
"Darren Sabedra

dsabedra@mercurynews.com"	1
Laura Mills	1
Seth Porges	1
Lauren Cassani Davis	1
Rene Ray De La Cruz Staff Writer	1
Thabiso Mochiko	1
GlassesOff Inc.	1
ukjaybrat	1
Madeline McKenzie	1
Aaron.McFarling@roanoke.com(Aaron McFarling)	1
Paul Ausick	1
Janet Gill	1
Jason Smith	1
WAFB Staff	1
Robert Gothan, Accountagility	1
THE NEW YORK TIMES	1
Tim Martinez	1
bgoad@thehill.com (Vicki Needham)	1
ERIN NEGLEY AND JENELLE JANCI	1
MRC Clinical Sciences Centre/Institute of Clinical Sciences (ICS) Faculty of Medicine, Imperial College London	1
lanouvellerepublique.fr	1
James Eyers	1
Carolyn Taylor	1
Michael Bathon	1
Gertrude Chavez-Dreyfuss	1
Kathleen A. Hughes	1
Sruthi Ramakrishnan	1
Source: Connecticut Post	1
CanIndia News Service 1	1
"NAPS, 
North American Precis Syndicate"	1
Glancy Prongay & Murray LLP	1
Phillip Kingston	1
University of Glasgow	1
Shehan Jeyarajah	1
Rob Boughton	1
Alan Morrell	1
Larry Hardesty | MIT News Office	1
ROB HARRIS AP Sports Writer	1
jdavis@thehill.com (By Vicki Needham)	1
Lindsey Peacock	1
yklin	1
Ruckus Wireless, Inc.	1
dariks@crossville-chronicle.com(Dan Ariks)	1
AFP and Dow Jones Newswires	1
Tim Baros	1
Fourth round of bond buys a possibility	1
KATE FELDMAN	1
BILL PENNINGTON	1
Catherine NORRIS TRENT , Joanna COCKERELL , Stéphanie CHEVAL	1
Jessica Stetson	1
mlycklama@idahostatesman.com (Michael Lycklama)	1
COLLEEN BARRY, Associated Press	1
Julien Pretot	1
Loeb &amp; Loeb LLP	1
Mirror.co.uk	1
Dan Wolken, USA TODAY Sports	1
Katie Martin	1
Brian	1
Hiroko Tabuchi	1
Thomas Bruch	1
RICHARD EVANS	1
Source: HeraldNet	1
Antonio Planas	1
CITY NEWS SERVICE	1
Andrew Greif | The Oregonian/OregonLive	1
Natalie Ho	1
Harry	1
Alexandra Chachkevitch	1
Brandon Gurney	1
news@courierpublicationsllc.com (Ken Waltz)	1
Kim Myers	1
Danielle and Andy Mayoras	1
Tony Robinson	1
Reid Spencer-NASCAR Wire Service	1
John Carucci,  The Associated Press	1
Paul Kiel (ProPublica)	1
Marguerite Reardon	1
Merrick M. Lee	1
Source: Thurrock Gazette	1
Wineforecaster	1
Matthew Monks	1
PTI New Delhi Nayantara	1
MARK HERRMANN	1
Thomas Freeman	1
Jennifer Graham	1
Kerri Zynen	1
Source: Milford Mercury	1
Tim Hindes	1
MIKE FITZPATRICK and HOWIE RUMBERG, AP Baseball Writers	1
"Janet Kidd Stewart 
Chicago Tribune"	1
Keith McGilvery	1
BRIAN MAHONEY	1
Idrees Ali	1
Mathew Murphy and Network Writers	1
BRIAN MCNALLY, Associated Press	1
Venay Sehgal Bhatia	1
Jenny Gross	1
PAUL SCHWARTZ	1
Traducta	1
Sonja Takatori, Lead Project Manager, Stratos	1
Ron Paul Gavino	1
Catherine Boyle	1
Chuck Schilken	1
Jemima Whyte and Angus Grigg	1
"Lauren Smith 
Staff writer"	1
Jyoti Jain	1
Graham Hack	1
Mark Kiszla	1
DANIELLE ABREU	1
dsouthorn@idahostatesman.com (Dave Southorn)	1
Jon Campbell, JonCampbellGAN	1
Ivan Semeniuk - SCIENCE REPORTER	1
Jackie Atkins	1
Jeanette Pavini	1
Rod Chester and Jennifer Dudley-Nicholson	1
Digital Turbine, Inc.	1
Bridgette King	1
Kimberly Schuman	1
Jane Harper RETAIL	1
Michael Boren,	1
Yasmeen Abutaleb	1
Sam Chambers	1
Tyler White	1
Verena Dobnik,  The Associated Press	1
Hope King	1
Lisa Sinervo	1
Alex Frangos	1
Rachel Pannett	1
Don McDougall	1
Elizabeth Roberts	1
Telegraph Reporters	1
The Bellingham Herald	1
Helene Durand	1
Source: Madison Publishing	1
ALICIA RANCILIO, Associated Press	1
Source: KXAN-TV Austin	1
Margalit Fox	1
Tom Keegan	1
Brian Alexander	1
Chelsea Todaro	1
Lauren Johnson, Christopher Heine	1
Kerry Byrne	1
techradar	1
MARK STEVENSON	1
USA TODAY Sports, USA TODAY	1
Jasmine Wang	1
Tim Reynolds Associated Press Sports Writer (noreply@mdjonline.com)	1
"Bob Dutton 
Staff Writer"	1
"Laura L. Myers 
Special to the Miami Herald"	1
From our community	1
Leslie Weir	1
Mark Lamport-Stokes	1
Catrina Roallos	1
annas	1
Tomas Petrašiūnas	1
Duncan Hughes and Su-Lin Tan	1
Nadja Borovac	1
Gavin Burke	1
Liana B. Baker	1
TIM DAHLBERG	1
Travel-Light	1
Patrick McGroarty	1
TIM BOOTH, AP Sports Writer	1
PTI Thiruvananthapuram	1
Matthew Van Deventer	1
Commonwealth//McCann	1
Submitted by GiGi’s Playhouse	1
Shaili Chopra	1
Rob Lovitt	1
Clarence Page	1
Laura Armstrong	1
Charles Passy	1
Heath Matthews	1
Dan Levin	1
George Wilson	1
Kriston Capps	1
Rachel Chitra	1
John Hood	1
eHealth Technologies	1
Ay’s Child	1
Jed Gottlieb	1
jens@merlien.org	1
Mark Aumann	1
Kirton McConkie PC	1
Subodh Mayure	1
JANIE McCAULEY (AP Sports Writer)	1
Jeffrey Voegeli	1
Andrew Taylor and Erica Werner / Associated Press	1
Alex Heath, Business Insider	1
Debbie Juniewicz	1
Rosemarie Stein | The Oregonian/OregonLive	1
Nadeem Hanif	1
MARY HUDETZ	1
Marie Julien	1
Tamsyn Burgmann	1
Melissa Dahl	1
Susan Wyndham	1
Mike DuPont	1
MICHAEL CAPRIO	1
Submitted by Seattle Times readers	1
Drew Champlin | dchamplin@al.com	1
Noelle Crombie | The Oregonian/OregonLive	1
Source: Crewe Guardian	1
Source: Northwest Florida Daily News	1
Malcolm Scott	1
Yogendra Kalavalapalli	1
BS Reporters	1
Frank Therber	1
Thomas Adamson, The Associated Press	1
Tim Mullaney	1
Kara Apel	1
Sue Cushing	1
Alessandro Speciale	1
Henry Grabar	1
Scott Moritz	1
The Big Idea	1
Alex Pollak	1
Lori Ely	1
Goncalo de Vasconcelos	1
Simon Kuper	1
Wes Goodman	1
MIKE FITZPATRICK, AP Baseball Writer	1
Fraser Simpson, SME Insider	1
IFCO Systems	1
newyorker.com	1
Justin King | jking@al.com	1
Ben Miller	1
ROB GILLIES, Associated Press	1
Eleanor Warnock	1
Tori Pugliese Beebe	1
Mesfin Fekadu, The Associated Press	1
Laurel J. Sweet	1
"Mike Brohard 

Sports Editor"	1
Liam Viney	1
Julia Marsh	1
Source: The Globe and Mail	1
Amy Wilson-Chapman	1
TAMARA LUSH	1
Al-Masry Al-Youm	1
Angela Dejene	1
Lex	1
Genaro C. Armas, Associated Press	1
Womble Carlyle Sandridge &amp; Rice, LLP	1
Margaret Coker	1
Kimberly-Clark Corporation	1
Source: Witney Gazette	1
Svea Herbst-Bayliss and Lawrence Delevingne	1
John Canzano | The Oregonian/OregonLive	1
ReachLocal, Inc.	1
Eugene O'Rourke	1
Lee Allum	1
Liz Reyer , Minneapolis Star Tribune	1
obits@timesonline.com(BNI Obits)	1
Michael Marot	1
Charles Odum Associated Press Sports Writer (noreply@cherokeetribune.com)	1
Megan Davies	1
Marketing Department	1
Samantha Chang	1
Amber Sutton | asutton@al.com	1
Emma O'Brien, Rachel Evans	1
Bernie Chowdhury	1
"Killing a King
By Dan Ephron
W.W. Norton & Co., 304 pages, $27.95
At the festival Nov. 15"	1
Nick Visser	1
Michael Riley, Jordan Robertson and Keri Geiger	1
Amir Mizroch	1
Trish Vasquez	1
Chris Mondics,	1
Barbie Crafts	1
Sam Sacks	1
UAB Athletics Media Relations	1
Jessica Leigh Hester	1
Justine Underhill	1
Source: The Times of India	1
Valerina Changarathil	1
Tracey McNaughton	1
Jan Skutch	1
Danny Moran | The Oregonian/OregonLive	1
KIMBERLY PIERCEALL Associated Press	1
Kinaxis Inc.	1
Robin Sidel	1
Miguel Helft	1
Ben Baby	1
Ricardo Mendiola	1
Keith Groller	1
Dj Deskins	1
Maria Guardado | NJ Advance Media for NJ.com	1
twocents@thestreet.com (Amelia Martyn-Hemphill)	1
Jay Greene / The Seattle Times (TNS)	1
Kristen Shaab	1
TOM BERG	1
MICHAEL WEISSENSTEIN	1
Harvey Jones	1
Ben Leibowitz and Will Laws	1
'Fair dinkum test': Card surcharges targeted	1
Shawn Langlois	1
Adam Thompson, Sports Editor	1
Faith Tsuruda	1
Reed Smith	1
Clayton Freeman	1
Kelly Roncace | For NJ.com	1
IANS New Delhi A day	1
Victor Reklaitis	1
Jared Diamond	1
Kathy Chu	1
Jeric Lopez	1
Matthew Futterman	1
MacDonald Dzirutwe	1
Source: WTAE-TV Pittsburgh	1
DENIS P. GORMAN	1
Carol Casey	1
Diana Samuels, NOLA.com | The Times-Picayune	1
Nell Greenfieldboyce	1
Source: KSDK-TV Saint Louis	1
Sewell Chan	1
Rob Matheson, MIT News Office	1
Laurie Los laurielos@s-t.com	1
Keith Bruce	1
Louise Ng	1
mobihealthnews	1
Jane Wardell	1
Vic Tafur	1
Rod Chester	1
Letty Mariam Abraham	1
ABI Research	1
Charles Andrew Hayes	1
"Ralph Schwartz 
The Bellingham Herald"	1
James Allen	1
Manu P Toms	1
Amy McConnell, MBA	1
Alexandra Wolfe	1
David G. Savage	1
Elliott Holley	1
Richard Leong	1
Ron Borges	1
Susan Sarkauskas	1
Brendan Wong Network Real Estate Reporter	1
BEN KLEINE	1
Anne Hyland	1
Cynthia Koons	1
Steve Rothwell, AP Markets Writer	1
ROD McGUIRK	1
STAFF REPORT	1
Eric Olson  AP College Football Writer	1
Lance Whitney	1
Jane O'Sullivan	1
Ben Lawson	1
Cindy Nickerson Contributing writer	1
Ian McGeechan	1
Sanyukta Iyer	1
Christopher Williams	1
Brittany Ruppert and agencies	1
Harvey Fialkov	1
Patrick Wintour	1
GEORGE HENRY	1
Steve White	1
Brendan Roberts	1
Christopher Smith | csmith@masslive.com	1
Naomi Ragen says it has taken a lot of time to recover emotionally from writing this book.	1
Ben Bolch	1
Source: InfoWorld	1
Miriam Kreinin Souccar	1
TBWA	1
Angela Nicholson	1
Laurence Norman	1
Ben Stiegler	1
Victor D. Infante Telegram &amp; Gazette Staff	1
Patricia Hurtado	1
Lynne Olson	1
Michael C. McKahan	1
BRAD MILNER	1
Aristide Economopoulos | NJ Advance Media, for NJ.com	1
Paul Brandner	1
Rachel Wilkinson	1
James Wright	1
twocents@thestreet.com (Gregg Greenberg)	1
Public Affairs	1
Cadena Tres	1
Mrinalini Sundar	1
"Christian Caple 
Staff writer"	1
David Lengel	1
Barry Whyte	1
ADAM FEINER	1
Marie Wilson	1
Andre Lamar Andre.lamar@doverpost.com @302DoAndre	1
Shannon King	1
KEVIN McNAMARA Journal Sports Writer	1
KELLY QUIMBY	1
From Staff Reports	1
Cyril Altmeyer and	1
Saumya Vaishampayan	1
Source: Yahoo!	1
JENNA FRYER, AP Auto Racing Writer	1
Tom Randall	1
Andrew Demo	1
The Globe and Mail	1
Thamer Al Subaihi	1
MO	1
AFP Relax	1
Asher Levine	1
Gholam Rahman	1
Rahil Bhagat	1
Zuzana Farkasova	1
Caroline Wagener	1
Amanda Saunders	1
Mumbai Close on the	1
Greg Miller, Ellen Nakashima and Julie Tate	1
Gabriele Parussini	1
Melonyce McAfee and Katia Hetter	1
Cornell University	1
Chantal Tode	1
Jonathan Cheng	1
Marc Rushton	1
Source: Andover Advertiser	1
Chanel Adams	1
PEOPLE en Espanol	1
Hondo	1
Frances Baum Nicholson	1
Anna Johansson	1
Rumi Aoyama	1
Corky Emrick	1
Amber Farley	1
Sarah White	1
ETonline Staff ET Online	1
Kimberly De La Cruz and Steven Moore, The Las Vegas Review-Journal	1
David Randall	1
Walter Updegrave	1
Matthew Taylor	1
"Steve Palisin
spalisin@thesunnews.com"	1
Meera Vohra	1
Aimee Picchi MoneyWatch	1
VM Sathish	1
BluKudzu	1
BRIAN MURPHY	1
David Bohlander	1
Learning Tree International	1
Javier Blas and Agnieszka de Sousa	1
Andrew Clark	1
Sally Jones	1
Meena Iyer	1
Bob Hough	1
Neil McMahon	1
Jeff Kagan • E-Commerce Times • ECT News Network	1
David Ginsburg AP Sports Writer	1
Mia Lamar	1
Melanie Grayce West	1
William G. Gilroy, University of Notre Dame	1
Syun Akasofu University of Alaska Fairbanks	1
Amy Thomson	1
Rick O'Brien,	1
Larry Rubama	1
Parker Robertson, KSL.com Contributor	1
Ryan Knutson	1
Dhiren Mahiban, The Canadian Press	1
DANIEL McKILLOP The Daily News	1
Jill Colvin, Associated Press	1
JULIET MACUR	1
Stephen Stromberg	1
Shara Tibken	1
Mike Rutherford	1
David Feith	1
FordHarrison	1
Colleen McCain Nelson	1
Gazette Staff	1
Anne d'Innocenzio, AP  Retail Writer	1
Matthew Cranston	1
Maggie Wilson	1
Kristina Torres	1
Jeffrey Baker	1
Lizzie Simon	1
Debora Spar	1
Steve Visser	1
J. David Holcomb	1
Sean Martin	1
Nathan Becker	1
Malin Rising and Nathalie Rotschild, Associated Press	1
Adele Fergson, Sarah Danckert and Damien Murphy	1
The Centerstage Team	1
Michael McGuire	1
Angel Verdejo Jr.	1
GREG BEACHAM	1
Scott Phillips	1
Paul Hannon	1
Grey Papke	1
Ruth Liew, Tim Binsted	1
Brandon Griggs	1
Zac Pennington and Claire Evans | Take Two	1
The Lufkin News	1
Farah Mohamed	1
webmaster@whatech.com.au (Alison Reed)	1
MarketWatch	1
Jovi Figueroa	1
Jeremy Littlejohn	1
Rossman	1
Troy Morrison	1
CFO Studio	1
Kim Janssen	1
Dana Martinez	1
nstanage@thehill.com (Kevin Cirilli)	1
D. Scott Croft	1
Tracey Lien	1
Dave Skretta Associated Press	1
Julie A. Short, Correspondent	1
dmccabe@thehill.com (David McCabe)	1
Stephanie Landsman	1
ABBY PHILLIP	1
Ben Felderstein	1
Jon Carroll	1
MARIA SCIULLO Pittsburgh Post-Gazette	1
Anne McCollam	1
The Lancet	1
Betsy McDonald	1
Dan Collins	1
Conor Feehan, Alan O'Keeffe, Laura Larkin and Sam Griffin	1
Francesca Perry	1
Kyle Midura	1
Dave Genest	1
Nigel Atkinson	1
Kevin Baxter	1
Steve Serby	1
Susie Tommaney	1
Lisa Speth	1
Mike Whaley Foster's Daily Democrat	1
James Dunn	1
SUSAN DUNNE	1
David McHoul	1
Alwyn Scott and Ankit Ajmera	1
Houghton Mifflin Harcourt	1
JANIE McCAULEY	1
Cypress Semiconductor Corp.	1
Pensioner faces 350 lashes in Saudi Arabia for making wine	1
Holly Ellyatt	1
Bob Hertzel For the Times West Virginian	1
Alana Duma	1
Rebecca Burn-Callander , Enterprise Editor	1
Dave McNary,	1
Julie McDowall	1
Colin Linneweber	1
KEITH RIDLER, Associated Press	1
Temple University Health System	1
Jim Cahn	1
Irene Klotz	1
Cheryl Hanna	1
Barbara Speed	1
Yogesh Sapkale	1
Lynn Noah	1
cbrendlinger	1
Jane Wertz	1
Kent Wissinger	1
Harit N Joshi and Subodh Mayure	1
Michael Rubinkam Associated Press	1
Jason	1
Forschungsverbund Berlin e.V. (FVB)	1
Cara Waters	1
James Wilkins	1
Karen Perlman	1
Scientific Learning Corp.	1
Gray Television, Inc.	1
Zuri Berry	1
Matthew Jenkin	1
Rodrigo Campos	1
Staff Reports sports@seacoastonline.com	1
Investors in the pink as Baby Bunting shares surge	1
Sterling Construction Company, Inc.	1
"<span class=""author"">Charlie Mitchell"	1
Ragean Kennedy	1
Terry Lane	1
Matt Zenitz | mzenitz@al.com	1
James Herron	1
Andrey Ostroukh	1
Lucas M. Thomas	1
Jonah Shepp	1
Ryan Lawrence	1
Affinion Group Holdings, Inc.	1
The Emporia Gazette	1
Mark Jackson , Epoch Times	1
Laura J Keller	1
Peter Soeth	1
"Compiled by Martha Ross

mross@bayareanewsgroup.com"	1
Joe Alberico	1
Saint Francis Foundation	1
Cybereason	1
JOHN TRANCHINA Associated Press	1
WNYC	1
Y-Sing Liau	1
Madeleine Renouard	1
Michael Riley	1
Buchalter Nemer	1
Agnes King	1
Tammy Overstreet	1
Adi Narayan	1
JIM MOORE, SPECIAL TO SEATTLEPI.COM	1
TORONTO — The Canadian Press	1
Bob Pisani	1
Madhumita Murgia , Technology Editor	1
Azumio	1
Mario Parker	1
Ceri Radford	1
Anjani Trivedi	1
Julie Balise	1
Ian C Sayson	1
Terry Richard | The Oregonian/OregonLive	1
Alyssa Abkowitz	1
INSERM	1
James R. Love	1
Meagan Damore	1
Kevin T. Baldwin Telegram & Gazette Reviewer	1
Joshua Kloke	1
Medical Asset Management, Inc.	1
La-Keya Stinchcomb	1
Sara Randazzo	1
Mayim Bialik	1
Tim Reynolds  AP Sports Writer	1
Alan Prendergast	1
Ronald Tillery	1
Elizabeth Karmel	1
Lu Wang, Oliver Renick, Dani Burger	1
ANN HORNADAY, The Washington Post	1
Source: KCRA-TV Sacramento	1
Jim Holt	1
Alastair Himmer	1
BILL BARROW and JULIE BYKOWICZ Associated Press	1
Mae Anderson / The Associated Press	1
Mike Gaither	1
Arvind Chauhan	1
Miranda Heggie	1
Jessica G	1
Ammoland	1
NuScale Power LLC	1
Bill Dwyre	1
staff reporter Huang Wenhui	1
Michelle L. Quinn	1
Dana Barbuto, More Content Now	1
Lindsay Duran	1
Source: Network World	1
Nektaria Stamouli	1
Dawn M. Turner	1
Jeremy Van Loon	1
Ellen Held	1
Scott Linesburgh Record Staff Writer	1
Janie Mccauley AP Sports Writer	1
DJ Bean	1
Michelle Basch	1
Eliot Brown	1
JJ CONRAD	1
Matt Estreich	1
Sobhana K Nair	1
URQ196	1
WM	1
Emmett Hall	1
Brianna Barnebee	1
Carol Sponagle, Correspondent	1
Amy Moritz	1
Special to syracuse.com	1
Source: KAZR-FM Des Moines	1
Heather Taylor	1
Nick Tattersall and Paul Carrel	1
AMY BIOLCHINI The Holland Sentinel	1
Stu Woo	1
Donna Shaw	1
Calum Fuller	1
Mary Elizabeth Dallas HealthDay	1
Faye Flam	1
Gregory Strong, The Canadian Press	1
Mary Conway	1
Rebecca Howard	1
LESLIE PICKER and MIKE ISAAC	1
JOSEPH PAUL Journal &amp; Courier	1
Source: Tri-cityherald.com	1
Jo Ann Cooper	1
Alisha Haridasani	1
Andrea Castillo	1
Maria C.	1
Chris Martin	1
Javier Blas	1
Sidney Quinn	1
Mintz Levin - Energy &amp; Clean Technology	1
Carla Miles	1
Amy J. Barry, Special to The Day	1
Andrew Seligman Associated Press Sports Writer (noreply@cherokeetribune.com)	1
John Varlas	1
James T. Areddy	1
Samuel Murlithi	1
Samuel Chi	1
Dictionary.com	1
Chris Bowie	1
ZINIO LLC	1
Kirk Seaman	1
Walter Bingham	1
Steven Reinberg	1
Peter Pallot	1
Source: KFVS12	1
James Peckham	1
gevans@thehill.com (Vicki Needham)	1
Natasha Marrian	1
Rhiannon Hoyle	1
"Todd Milles 
Staff writer"	1
Salvador Rodriguez	1
Rich DePreta	1
Matthew Perrone, AP Health Writer	1
Anne D'Innocenzio	1
SHELBY BURGET	1
Paul Myerberg, USA TODAY Sports	1
"Jon Wilner
Mercury News"	1
Gal Steinberg	1
Aleis Stokes	1
Stuart Condie	1
ken.delabastide@heraldbulletin.com(Ken de la Bastide)	1
Mike Ramsey	1
Justin Barney	1
Phil Steele	1
michael omokafe	1
Tribune staff reports (noreply@cherokeetribune.com)	1
Spiros Tsantilas	1
Laura Italiano	1
Josh Robinson	1
CHARLES ODUM AP Sports Writer	1
Aaron Karp	1
Rob Berger	1
Deem	1
Jonathan Underhill	1
Jeff Popple	1
Source: KSSN-FM Little Rock	1
Carmen Reinhart	1
Simon Harris	1
Laura Saunders	1
CHERUBS	1
Jim Phillips	1
Andrew Browne	1
Gabby Morrongiello	1
Qiana Chavaia	1
Eric Yep	1
Abhinav Malhotra	1
Chris Quinn	1
Catie Low and Mark Hawthorne	1
Bill Wagner	1
Diana Mehta	1
Simon Holt	1
VASCO Data Security International, Inc.	1
Todd A. Price, NOLA.com | The Times-Picayune	1
Michelle Chapman And Anne d'Innocenzio, AP Business Writers	1
Lorraine Luk	1
Kate Sullivan	1
Shelia Poole	1
Andrew Nemec | The Oregonian/OregonLive	1
Times-Reporter staff report	1
Bob Jamieson, rjamieson@stargazette.com	1
RONALD BLUM	1
Joe Garofoli	1
Shaver Shop considers joining Baby Bunting, Lovisa and co	1
Mintz Levin - Health Law &amp; Policy Matters	1
Matt Moore	1
Joe Sutton	1
Andrew Lightman	1
Jody Genessy	1
Rebecca Rosenberg	1
Misha Berson	1
SANDY COHEN	1
Robert Preidt	1
Quantum Corp.	1
Harwood Feffer LLP	1
Alastair Gale	1
JENNIFER COOPER (Williamsport) Sun-Gazette	1
Baroness Altmann	1
SUSE LLC	1
Andreas Cremer, Reuters	1
Karl Friedhoff	1
Chelena Goldman	1
Emma Johnson	1
David Dale	1
Louis Milman	1
Akin Oyedele	1
Paul Rosta	1
agregory@bristolnews.com(Allen Gregory)	1
DARLENE SUPERVILLE	1
Simon Crisp	1
MICHAEL MAROT	1
Newley Purnell	1
Carol Banks Weber	1
Gary Dzen	1
Nick Vadala	1
Luca Casiraghi	1
Drew Harwell	1
